"Subject","Trial","Brand1","Brand2","Brand3","Price1","Price2","Price3","Type1","Type2","Type3","Selection","Response_Time"
2401,1,"Dove","Godiva","Dove",0.6,0.7,3.6,"Milk","Dark","White",1,5210
2401,2,"Godiva","Godiva","Hershey's",2.7,3.9,0.7,"Milk w/ Nuts","Dark","Milk w/ Nuts",2,7480
2401,3,"Hershey's","Godiva","Hershey's",1.7,3.7,3,"Dark w/ Nuts","Dark","Dark",2,7704
2401,4,"Lindt","Lindt","Ghirardelli",1,3.6,0.5,"Milk","Milk w/ Nuts","Dark w/ Nuts",1,5774
2401,5,"Hershey's","Godiva","Hershey's",0.8,1.5,3.3,"Milk w/ Nuts","Dark","White",2,5238
2401,6,"Lindt","Dove","Godiva",3.1,2.5,2.6,"Milk","White","Dark",3,3423
2401,7,"Godiva","Dove","Godiva",3.1,4,2.1,"White","Dark w/ Nuts","Milk",3,4691
2401,8,"Hershey's","Godiva","Godiva",0.8,3.2,1.1,"Dark w/ Nuts","White","Dark",3,3268
2401,9,"Lindt","Godiva","Godiva",2.3,1.7,3.8,"Dark","Dark","White",2,6719
2401,10,"Lindt","Godiva","Hershey's",0.6,0.8,3.7,"Milk w/ Nuts","Milk w/ Nuts","Dark",2,3542
2401,11,"Godiva","Dove","Hershey's",1.6,0.7,1.2,"Milk","White","Dark w/ Nuts",1,3607
2401,12,"Godiva","Dove","Lindt",1.1,0.8,3.7,"Dark w/ Nuts","Dark w/ Nuts","Dark",3,6688
2401,13,"Dove","Lindt","Godiva",3,0.8,1.9,"Milk","White","White",1,4547
2401,14,"Lindt","Dove","Dove",0.6,3.5,1.9,"Dark w/ Nuts","Milk","Milk w/ Nuts",2,5615
2401,15,"Godiva","Ghirardelli","Dove",3.7,1.5,1.6,"Dark","Dark","Dark",1,3723
2401,16,"Hershey's","Dove","Dove",0.5,3.8,3.7,"Milk w/ Nuts","Milk","Dark w/ Nuts",2,4616
2401,17,"Dove","Dove","Lindt",3.9,1.2,0.5,"Milk","Milk w/ Nuts","Milk w/ Nuts",1,3588
2401,18,"Godiva","Lindt","Godiva",2.8,2.7,2.6,"Milk w/ Nuts","Milk","White",1,4796
2401,19,"Hershey's","Dove","Dove",3.7,4,2.8,"Milk","Dark w/ Nuts","Dark",1,4394
2401,20,"Dove","Godiva","Hershey's",0.7,0.8,1.9,"Dark","White","Dark",3,6490
2401,21,"Ghirardelli","Hershey's","Godiva",0.8,3,2.4,"Milk w/ Nuts","Milk","Milk w/ Nuts",2,5664
2401,22,"Godiva","Dove","Hershey's",0.9,3.4,3.4,"Dark","Milk w/ Nuts","Dark w/ Nuts",1,4037
2401,23,"Godiva","Dove","Dove",0.6,1.8,3.4,"Dark w/ Nuts","White","Dark",1,4764
2401,24,"Hershey's","Godiva","Ghirardelli",3.6,3.2,1.4,"Dark w/ Nuts","Milk w/ Nuts","Milk w/ Nuts",2,5663
2401,25,"Lindt","Ghirardelli","Lindt",1.1,0.8,2,"White","White","Milk",3,8058
2402,1,"Hershey's","Godiva","Dove",2.2,2.1,3.5,"Milk","Dark w/ Nuts","Milk",2,13161
2402,2,"Ghirardelli","Hershey's","Hershey's",1.3,1.7,3.5,"Milk w/ Nuts","White","Milk",3,6346
