id,nItems,mostFreqStore,mostFreqCat,nCats,preferredBrand,nBrands,nPurch,salesLast3Mon,salesThisMon,daysSinceLastPurch,meanItemPrice,meanShoppingCartValue,customerDuration
1,1469,Stockton,Alcohol,72,Veina,517,82,2741.97,1283.87,1,1.86655548,33.43865854,821
2,1463,Stockton,Alcohol,73,Veina,482,88,2790.58,1242.6,1,1.907436774,31.71113636,657
3,262,ColoradoSprings,Shoes,55,Bo,126,56,1529.55,682.57,1,5.837977099,27.31339286,548
4,293,ColoradoSprings,Bakery,50,Veina,108,43,1765.81,730.23,1,6.02665529,41.06534884,596
5,108,ColoradoSprings,Beverages,32,Bo,79,18,1180,552.54,12,10.92592593,65.55555556,603
6,216,Boston,Alcohol,41,Bo,98,35,1345.29,662.52,2,6.228194444,38.43685714,673
7,174,Columbus,Packagedfood,36,Bo,78,34,1338.81,621.46,2,7.694310345,39.37676471,612
8,122,Seattle,Shoes,31,Bo,62,12,1256.96,367.07,4,10.30295082,104.7466667,517
9,204,Jersey,Bakery,41,Bo,99,26,1963.6,780.78,14,9.625490196,75.52307692,709
10,308,Seattle,Alcohol,52,Bo,103,33,1584.59,695.52,1,5.144772727,48.01787879,480
11,241,Jersey,Alcohol,45,Bo,84,23,1330.16,571.97,7,5.5193361,57.83304348,484
12,550,Seattle,Frozenfood,60,Bo,203,22,2069.06,965.89,3,3.761927273,94.04818182,697
13,135,Jersey,Bakery,41,Bo,74,20,1346.79,530.68,6,9.976222222,67.3395,550
14,449,Boston,Bakery,60,Bo,161,26,1861.7,888.79,1,4.146325167,71.60384615,600
15,265,Jersey,Alcohol,51,Bo,131,55,1376.72,611.5,2,5.195169811,25.03127273,829
16,50,Seattle,Packagedfood,21,Veina,31,7,949.93,340.59,12,18.9986,135.7042857,528
17,80,Jersey,Packagedfood,23,Bo,37,20,1206.89,655.29,5,15.086125,60.3445,709
18,209,Jersey,Freshfood,40,Medeia,93,16,1560.92,332.05,4,7.468516746,97.5575,183
19,409,Boston,Packagedfood,56,Bo,170,18,1792.54,881.29,2,4.382738386,99.58555556,828
20,176,Boston,Alcohol,39,Bo,85,26,1414.07,663.19,3,8.034488636,54.38730769,549
21,335,Boston,Baby,51,Moone,133,24,1668.62,811.87,1,4.980955224,69.52583333,778
22,44,Boston,Shoes,19,Nilima,23,5,772.84,306.84,7,17.56454545,154.568,573
23,156,Jersey,Beverages,50,Medeia,95,20,1276.88,623.69,2,8.185128205,63.844,673
24,17,SanDiego,Baby,9,Veina,13,5,642.86,242.04,14,37.81529412,128.572,521
25,112,SanDiego,Alcohol,38,Bo,69,9,1153.54,449.25,4,10.29946429,128.1711111,786
27,21,Boston,Baby,13,Veina,18,6,729.23,416.5,4,34.7252381,121.5383333,779
28,117,Boston,Pets,35,Moone,66,8,1323.63,482.09,22,11.31307692,165.45375,239
29,218,Columbus,Baby,48,Bo,87,20,1417.35,606.94,1,6.501605505,70.8675,662
30,34,Columbus,Baby,16,Veina,20,10,784.78,211.64,2,23.08176471,78.478,343
31,156,Columbus,Frozenfood,47,Medeia,79,16,1364.5,490.31,2,8.746794872,85.28125,554
32,21,Boston,Baby,13,Bo,15,1,631.28,519.84,20,30.06095238,631.28,761
33,113,Seattle,Baby,32,Nilima,50,21,1100.06,401.74,4,9.735044248,52.38380952,621
34,114,Seattle,Alcohol,26,Nilima,57,17,1180.62,529,4,10.35631579,69.44823529,640
36,213,Seattle,Packagedfood,44,Bo,98,19,1599.87,529.33,9,7.511126761,84.20368421,382
37,307,Seattle,Alcohol,54,Medeia,146,14,1583.73,668.81,1,5.158729642,113.1235714,737
39,56,ColoradoSprings,Baby,24,Nilima,21,10,879.2,364.08,2,15.7,87.92,689
40,131,Orlando,Alcohol,30,Nilima,77,18,1126.26,373.47,2,8.59740458,62.57,588
41,95,Seattle,Alcohol,33,Nilima,60,18,1158.56,479.74,6,12.19536842,64.36444444,642
42,152,Orlando,Frozenfood,30,Nilima,68,21,1308.59,546.28,3,8.609144737,62.31380952,772
44,8,Orlando,Shoes,6,Akar,6,1,632.41,916.88,2,79.05125,632.41,974
45,231,Jersey,Baby,51,Bo,94,10,1434.39,572.37,18,6.209480519,143.439,705
