"","date","Department","supply","stock"
"1",1932-01-01,"Architecture & Design",2,2
"2",1934-01-01,"Architecture & Design",2,4
"3",1934-04-01,"Architecture & Design",43,47
"4",1934-09-01,"Architecture & Design",4,51
"5",1935-11-01,"Architecture & Design",22,73
"6",1935-12-01,"Architecture & Design",1,74
"7",1936-01-01,"Architecture & Design",11,85
"8",1936-05-01,"Architecture & Design",9,94
"9",1936-06-01,"Architecture & Design",1,95
"10",1936-07-01,"Architecture & Design",3,98
"11",1936-10-01,"Architecture & Design",66,164
"12",1937-01-01,"Architecture & Design",14,178
"13",1937-02-01,"Architecture & Design",1,179
"14",1937-03-01,"Architecture & Design",2,181
"15",1937-06-01,"Architecture & Design",6,187
"16",1937-07-01,"Architecture & Design",5,192
"17",1937-10-01,"Architecture & Design",63,255
"18",1937-11-01,"Architecture & Design",85,340
"19",1937-12-01,"Architecture & Design",21,361
"20",1938-01-01,"Architecture & Design",4,365
"21",1938-06-01,"Architecture & Design",5,370
"22",1938-10-01,"Architecture & Design",1,371
"23",1938-11-01,"Architecture & Design",7,378
"24",1939-01-01,"Architecture & Design",3,381
"25",1939-03-01,"Architecture & Design",1,382
"26",1939-05-01,"Architecture & Design",121,503
"27",1939-06-01,"Architecture & Design",2,505
"28",1939-12-01,"Architecture & Design",10,515
"29",1940-04-01,"Architecture & Design",57,572
"30",1940-09-01,"Architecture & Design",15,587
"31",1940-12-01,"Architecture & Design",1,588
"32",1941-01-01,"Architecture & Design",1,589
"33",1941-12-01,"Architecture & Design",9,598
"34",1942-01-01,"Architecture & Design",74,672
"35",1942-07-01,"Architecture & Design",6,678
"36",1942-12-01,"Architecture & Design",2,680
"37",1943-02-01,"Architecture & Design",402,1082
"38",1943-05-01,"Architecture & Design",429,1511
"39",1943-11-01,"Architecture & Design",14,1525
"40",1944-01-01,"Architecture & Design",1,1526
"41",1944-05-01,"Architecture & Design",28,1554
"42",1944-07-01,"Architecture & Design",7,1561
"43",1944-11-01,"Architecture & Design",14,1575
"44",1944-12-01,"Architecture & Design",16,1591
"45",1945-01-01,"Architecture & Design",104,1695
"46",1945-06-01,"Architecture & Design",3,1698
"47",1946-04-01,"Architecture & Design",1,1699
"48",1946-05-01,"Architecture & Design",33,1732
"49",1947-01-01,"Architecture & Design",3,1735
"50",1947-03-01,"Architecture & Design",18,1753
"51",1947-06-01,"Architecture & Design",54,1807
"52",1948-01-01,"Architecture & Design",1,1808
"53",1948-03-01,"Architecture & Design",125,1933
"54",1949-02-01,"Architecture & Design",14,1947
"55",1949-05-01,"Architecture & Design",15,1962
"56",1950-04-01,"Architecture & Design",29,1991
"57",1950-06-01,"Architecture & Design",36,2027
"58",1950-11-01,"Architecture & Design",32,2059
"59",1951-05-01,"Architecture & Design",112,2171
"60",1951-11-01,"Architecture & Design",42,2213
"61",1952-01-01,"Architecture & Design",1,2214
"62",1952-05-01,"Architecture & Design",63,2277
"63",1953-01-01,"Architecture & Design",4,2281
"64",1953-04-01,"Architecture & Design",114,2395
"65",1953-11-01,"Architecture & Design",17,2412
"66",1954-01-01,"Architecture & Design",11,2423
"67",1954-04-01,"Architecture & Design",16,2439
"68",1954-06-01,"Architecture & Design",7,2446
"69",1954-09-01,"Architecture & Design",40,2486
"70",1954-12-01,"Architecture & Design",41,2527
"71",1955-04-01,"Architecture & Design",22,2549
"72",1955-06-01,"Architecture & Design",24,2573
"73",1956-03-01,"Architecture & Design",44,2617
"74",1956-04-01,"Architecture & Design",35,2652
"75",1956-10-01,"Architecture & Design",135,2787
"76",1957-05-01,"Architecture & Design",33,2820
"77",1957-10-01,"Architecture & Design",11,2831
"78",1957-12-01,"Architecture & Design",63,2894
"79",1958-01-01,"Architecture & Design",2,2896
"80",1958-02-01,"Architecture & Design",28,2924
"81",1958-10-01,"Architecture & Design",1,2925
"82",1958-12-01,"Architecture & Design",157,3082
"83",1959-01-01,"Architecture & Design",1,3083
"84",1959-09-01,"Architecture & Design",1,3084
"85",1959-10-01,"Architecture & Design",1,3085
"86",1959-12-01,"Architecture & Design",13,3098
"87",1960-01-01,"Architecture & Design",1,3099
"88",1960-04-01,"Architecture & Design",42,3141
"89",1960-05-01,"Architecture & Design",2,3143
"90",1960-11-01,"Architecture & Design",69,3212
"91",1961-01-01,"Architecture & Design",1,3213
"92",1961-02-01,"Architecture & Design",24,3237
"93",1961-06-01,"Architecture & Design",1,3238
"94",1961-11-01,"Architecture & Design",34,3272
"95",1962-01-01,"Architecture & Design",2,3274
"96",1962-11-01,"Architecture & Design",31,3305
"97",1962-12-01,"Architecture & Design",1,3306
"98",1963-02-01,"Architecture & Design",7,3313
"99",1963-03-01,"Architecture & Design",12,3325
"100",1963-06-01,"Architecture & Design",22,3347
"101",1963-11-01,"Architecture & Design",23,3370
"102",1963-12-01,"Architecture & Design",105,3475
"103",1964-01-01,"Architecture & Design",1,3476
"104",1964-04-01,"Architecture & Design",65,3541
"105",1964-05-01,"Architecture & Design",10,3551
"106",1964-06-01,"Architecture & Design",11,3562
"107",1964-10-01,"Architecture & Design",4,3566
"108",1965-01-01,"Architecture & Design",1,3567
"109",1965-04-01,"Architecture & Design",65,3632
"110",1965-06-01,"Architecture & Design",7,3639
"111",1965-11-01,"Architecture & Design",33,3672
"112",1966-01-01,"Architecture & Design",48,3720
"113",1966-05-01,"Architecture & Design",46,3766
"114",1966-12-01,"Architecture & Design",51,3817
"115",1967-01-01,"Architecture & Design",4,3821
"116",1967-04-01,"Architecture & Design",106,3927
"117",1967-06-01,"Architecture & Design",3,3930
"118",1967-10-01,"Architecture & Design",87,4017
"119",1968-01-01,"Architecture & Design",8,4025
"120",1968-03-01,"Architecture & Design",116,4141
"121",1968-10-01,"Architecture & Design",79,4220
"122",1968-12-01,"Architecture & Design",1,4221
"123",1969-04-01,"Architecture & Design",40,4261
"124",1969-12-01,"Architecture & Design",33,4294
"125",1970-01-01,"Architecture & Design",1,4295
"126",1970-05-01,"Architecture & Design",1,4296
"127",1970-11-01,"Architecture & Design",168,4464
"128",1971-01-01,"Architecture & Design",1,4465
"129",1971-11-01,"Architecture & Design",2,4467
"130",1972-04-01,"Architecture & Design",40,4507
"131",1972-12-01,"Architecture & Design",30,4537
"132",1973-01-01,"Architecture & Design",3,4540
"133",1973-05-01,"Architecture & Design",21,4561
"134",1974-11-01,"Architecture & Design",812,5373
"135",1975-03-01,"Architecture & Design",19,5392
"136",1976-03-01,"Architecture & Design",13,5405
"137",1976-10-01,"Architecture & Design",88,5493
"138",1977-03-01,"Architecture & Design",20,5513
"139",1977-06-01,"Architecture & Design",34,5547
"140",1977-11-01,"Architecture & Design",117,5664
"141",1978-02-01,"Architecture & Design",20,5684
"142",1978-09-01,"Architecture & Design",40,5724
"143",1979-05-01,"Architecture & Design",68,5792
"144",1980-01-01,"Architecture & Design",76,5868
"145",1980-10-01,"Architecture & Design",60,5928
"146",1981-01-01,"Architecture & Design",1,5929
"147",1981-04-01,"Architecture & Design",52,5981
"148",1981-12-01,"Architecture & Design",113,6094
"149",1982-10-01,"Architecture & Design",96,6190
"150",1983-05-01,"Architecture & Design",112,6302
"151",1983-11-01,"Architecture & Design",115,6417
"152",1984-10-01,"Architecture & Design",98,6515
"153",1984-11-01,"Architecture & Design",5,6520
"154",1985-10-01,"Architecture & Design",1,6521
"155",1985-11-01,"Architecture & Design",111,6632
"156",1986-05-01,"Architecture & Design",12,6644
"157",1986-10-01,"Architecture & Design",59,6703
"158",1987-05-01,"Architecture & Design",59,6762
