"","Title","Artist","ConstituentID","ArtistBio","Nationality","BeginDate","EndDate","Gender","Date","Medium","Dimensions","CreditLine","AccessionNumber","Classification","Department","DateAcquired","Cataloged","ObjectID","URL","ThumbnailURL","Circumference..cm.","Depth..cm.","Diameter..cm.","Height..cm.","Length..cm.","Weight..kg.","Width..cm.","Seat.Height..cm.","Duration..sec.."
"110086","Untitled from Flare","Thomas Nozkowski","4344","(American, born 1944)","(American)","(1944)","(0)","(Male)","2009","One from an illustrated book with ten etchings","page (each): 8 7/16 x 12 13/16"" (21.5 x 32.5 cm); overall (closed): 8 9/16 x 13 1/16 x 7/8"" (21.7 x 33.2 x 2.3 cm)","Gift of Yale University Art Gallery","428.2010.4","Illustrated Book","Prints & Illustrated Books","2010-06-09","N",156943,NA,NA,NA,NA,NA,21.5,NA,NA,32.5,NA,NA
"95761","I Am Still Alive","On Kawara","3030","(Japanese, 1933–2014)","(Japanese)","(1933)","(0)","(Male)","1970","One telegram with envelope","sheet (a): 7 1/2 x 8 1/4"" (19.1 x 20.9 cm); sheet (b): 4 3/8 x 8 11/16"" (11.1 x 22.1 cm)","Art & Project/Depot VBVR Gift","1044.2007.7a-b","Print","Prints & Illustrated Books","2007-11-12","N",124613,NA,NA,NA,NA,NA,19.1,NA,NA,20.9,NA,NA
"90344","Ortogonal (Collage) 8","Alejandro Otero","4445","(Venezuelan, 1921–1990)","(Venezuelan)","(1921)","(1990)","(Male)","1952","Cut-and-pasted colored paper on colored paper","12 3/4 x 12 3/4"" (32.4 x 32.4 cm)","Gift of Patricia Phelps de Cisneros in honor of Marie-Josée Kravis","185.2007.8","Drawing","Drawings","2007-04-10","Y",108158,"http://www.moma.org/collection/works/108158",NA,NA,NA,NA,32.3851,NA,NA,32.3851,NA,NA
"13738","Plate (folio 12) from (POEMS)","Willem de Kooning","3213","(American, born the Netherlands. 1904–1997)","(American)","(1904)","(1997)","(Male)","1967-1988",NA,"Japan sheet  13 7/8 x 10 15/16"" (35.2 x 27.8 cm)","Gift of The Limited Editions Club","301.1989.11","Illustrated Book","Prints & Illustrated Books","1989-10-12","N",14985,NA,NA,NA,NA,NA,35.2,NA,NA,27.8,NA,NA
"41430","Mansard House, South End, Boston, Massachusetts","Walker Evans","1777","(American, 1903–1975)","(American)","(1903)","(1975)","(Male)","1932","Gelatin silver print","6 5/16 x 4 7/16"" (16 x 11.3 cm)","Gift of Lincoln Kirstein","26.1933","Photograph","Photography","1933-04-13","N",44152,NA,NA,NA,NA,NA,16,NA,NA,11.3,NA,NA
"97070","Mechanical for Safedoor","George Maciunas","21398","(American, born Lithuania. 1931–1978)","(American)","(1931)","(1978)","(Male)","c. 1973","(CONFIRM)","Framed 75x61,7 cm","The Gilbert and Lila Silverman Fluxus Collection Gift","2536.2008","Drawing","Prints & Illustrated Books","2008-10-08","N",127992,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA
"10430","Duplicate of BLAKE, AN IMAGINED DEATH MASK (supplementary suite, plate 5) from A LETTER FROM WILLIAM BLAKE","Leonard Baskin","369","(American, 1922–2000)","(American)","(1922)","(2000)","(Male)","(Print executed 1956.  Previously published in  BLAKE AND THE YOUTHFUL ANCIENTS)","Wood engraving, printed in black","irreg composition  3 x 1 3/4"" (7.7 x 4.5 cm)","Monroe Wheeler Fund","143.1965.11","Illustrated Book","Prints & Illustrated Books","1965-04-06","N",11599,NA,NA,NA,NA,NA,7.7,NA,NA,4.5,NA,NA
"105750","Monument","Sanja Iveković","30946","(Croatian, born 1949)","(Croatian)","(1949)","(0)","(Female)","1976","Video (black and white, sound)","4:34 min.","Gift of Jerry I. Speyer and Katherine G. Farley, Anna Marie and Robert F. Shapiro, Marie-Josée and Henry R. Kravis, and Committee on Media and Performance Art Funds","121.2011","Video","Media and Performance Art","2011-03-08","Y",146178,"http://www.moma.org/collection/works/146178","http://www.moma.org/media/W1siZiIsIjI1MDIxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6b88cb53c5950d6b",NA,NA,NA,NA,NA,NA,NA,NA,274
"32415","Solitude","Giorgio de Chirico","1106","(Italian, born Greece. 1888–1978)","(Italian)","(1888)","(1978)","(Male)","1917","Pencil on paper","8 1/4 x 12 5/8"" (22.4 x 32 cm)","Gift of Abby Aldrich Rockefeller (by exchange) and purchase","112.1986","Drawing","Drawings","1986-02-27","Y",34076,"http://www.moma.org/collection/works/34076","http://www.moma.org/media/W1siZiIsIjY1MTQ4Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=040cb6d757615915",NA,NA,NA,22.4,NA,NA,32,NA,NA
"10000","THE MERRY WIDOW (plate, folio 33) from DAMES ET GÉNÉRAUX","Enrico Baj","292","(Italian, 1924–2003)","(Italian)","(1924)","(2003)","(Male)","1963-1964","Soft ground etching, printed in black, with collage","plate  9 3/4 x 7 3/4"" (24.8 x 19.7 cm)",NA,"91.1968.8","Illustrated Book","Prints & Illustrated Books","1968-02-05","N",11162,NA,NA,NA,NA,NA,24.8,NA,NA,19.7,NA,NA
