year,Britain,Modern,Liverpool,StIves
2004,"108,577","512,807","66,815","38,381"
2005,"83,305","328,504","81,898","36,242"
2006,"153,279","480,753","68,439","40,678"
2007,"129,129","485,799","84,524","40,678"
2008,"118,294","472,907","225,184","34,807"
2009,"103,531","470,642","78,012","37,214"
2010,"158,909","506,151","106,065","38,318"
2011,"142,615","466,231","81,553","38,501"
2012,"81,997","591,215","85,698","32,254"
2013,"163,845","424,556","79,755","41,494"
2014,"116,933","686,413","64,914","42,241"
2015,"124,208","444,771","80,716","37,277"
