user,follower,follower_count,friends_count
57082583,254865613,2169,2334
57082583,824723708602437632,79,527
57082583,1324242489511800833,2,79
57082583,3284766308,93,376
57082583,94292452,66,331
57082583,4162410142,988,1719
57082583,788827729,1528,1801
57082583,748532262,288,467
57082583,1368213558761295873,27,411
57082583,929624569111040000,34,2133
57082583,567678624,1244,2826
57082583,537443449,15,332
57082583,1425457614155026434,10,81
57082583,58138044,444,577
57082583,2979719464,518,773
57082583,78583449,2176,1492
57082583,63159632,1205,1092
57082583,982289417393004544,18,115
57082583,87419607,2102,1414
57082583,1549053890,777,1170
57082583,1330966865963782148,60,170
57082583,268905535,87,572
57082583,1374583569088135169,40,206
57082583,39468943,1116,2433
57082583,720695600,13,146
57082583,3367682589,1432,2602
57082583,64472672,327,421
57082583,1389560172398448644,168,164
57082583,905678545,202,521
57082583,1410572257311744000,26,120
57082583,26716249,1248,802
57082583,1278492234845843456,2258,3509
57082583,515529131,2992,3011
57082583,50466686,2765,919
57082583,366561788,1475,1953
57082583,2869079393,231,321
57082583,65883051,330,335
57082583,1124084161051078657,423,384
57082583,17941291,4559,1931
57082583,930539844,814,2972
57082583,902178887672758273,128,590
57082583,1159505135011356675,593,101
57082583,3306825820,174,3186
57082583,1320686621877035009,197,50
57082583,1139046304892575745,546,582
57082583,1198659479866396673,110,781
57082583,794187708,324,2146
57082583,20357764,653,857
57082583,786857745098084352,137,812
57082583,257029843,618,481
57082583,999084292893560833,319,2580
57082583,15239513,6874,2277
57082583,2410119463,1328,935
57082583,1377139631905382411,5,36
57082583,17826845,1081,544
57082583,825790087560564738,561,2449
57082583,2153236472,119,266
57082583,1356368233943625729,434,2452
57082583,196090844,4732,264
57082583,68476812,193,342
57082583,112610515,10717,2811
57082583,22461446,4187,2857
57082583,17991487,1279,2758
57082583,16143105,64180,4703
57082583,1029012651710533633,137,278
57082583,715151900430053376,4,53
57082583,2911014027,303,904
57082583,1084900031784660992,6,1223
57082583,18202677,10473,1758
57082583,15451796,151098,1820
57082583,20981308,1731,1912
57082583,14636665,11856,7547
57082583,45841403,4642,2523
57082583,4850026247,499,798
57082583,198664836,907,735
57082583,272383137,174,3325
57082583,1321135141729771524,86,235
57082583,1130775067154178049,348,850
57082583,179177557,209,646
57082583,1205111988,1782,3057
57082583,1228627223197999104,276,472
57082583,926111189653999617,1319,2306
57082583,1241208416275550215,50,1075
57082583,85021346,318,1261
57082583,2435302362,5322,3575
57082583,250035156,569,1663
57082583,203609466,85,201
57082583,1011323092717752320,276,886
57082583,1289031958018760705,34,1090
57082583,858968976554156033,2222,3223
57082583,11017262,4442,1132
57082583,931212478289252352,41,395
57082583,3603381,1267,1374
57082583,824240207000178688,490,2557
57082583,1147195329974026246,391,363
57082583,1079640629364178945,17,126
57082583,1095439999754006529,444,600
57082583,1351540539531919361,433,999
57082583,1055046576979226626,0,1713
57082583,15726813,2356,1218
57082583,223952322,616,1610
57082583,389562551,4679,5007
57082583,188717623,181,653
57082583,11491782,30283,13566
57082583,189605337,5765,2007
57082583,319550333,632,973
57082583,1114102241533755392,403,1360
57082583,1221951472419639296,151,914
57082583,955766182702850050,314,4998
57082583,17667859,1949,4884
57082583,96683447,901,1825
57082583,576847508,41,350
57082583,1595266056,726,3065
57082583,1342717752742539264,22,517
57082583,4831064649,671,4165
57082583,595484668,1620,1031
57082583,295464809,343,546
57082583,1036404223,329,5003
57082583,4853494606,409,919
57082583,47385370,1267,1686
57082583,784117652277043200,88,650
57082583,2209211090,57,1060
57082583,36612919,4217,4715
57082583,1245407033467305993,103,313
57082583,1130830006375075841,1614,746
57082583,1350738879725371394,9,225
57082583,752355219955154944,802,1453
57082583,732640763549454336,7,138
57082583,1047788701,2777,4608
57082583,3509452832,1436,2158
57082583,1348927343776161795,113,207
57082583,291885943,3,39
57082583,1309123406240120833,306,616
57082583,2957643506,211,1464
57082583,1283500928113487879,0,37
57082583,3344076508,419,4328
57082583,1642618422,284,571
57082583,803314174520528896,5,103
57082583,2350688629,116,605
57082583,1336315624587345926,194,306
57082583,1024394389039276032,64,2264
57082583,967337969945382912,317,905
57082583,1064153273932922881,330,508
57082583,32915190,440,349
57082583,341234712,274,1865
57082583,1397524068,112,667
57082583,1575907856,778,1355
57082583,621073,10655,1439
57082583,422827702,19,951
57082583,1200335700610011141,1421,4982
57082583,848839267,52,496
57082583,50343062,789,2434
57082583,722847370879217664,98,2409
57082583,840518616839774209,5,144
57082583,1225412105911853056,212,517
57082583,50671317,2851,2900
57082583,1315555020985831425,189,291
57082583,794644184,1937,4800
57082583,247329714,1176,913
57082583,3091136116,423,881
57082583,911228434734473217,5,86
57082583,1153950732,1574,1518
57082583,1860243234,1419,696
