text,retweeted,retweet_count
"RT @ByDavidTeel: Sleep deprivation notwithstanding, this week’s games can’t here fast enough. A review of an exhausting day involving all 1…",False,8
A rare F-minus from @Justin_Ferber in his latest Take Two coming off Saturday's #UVA loss at BYU: https://t.co/1wEfxKleLu,False,0
RT @DamonDillman: #UVA now has two weeks of practice to try to find a way to patch up its defense for the season's stretch run. Amid an inc…,False,3
It's November! Let's start off the month strong and determined. #MotivationMonday #UVA #IMRec https://t.co/B2SbNryLvU,False,0
"RT @riellodecba: 📣 Hey! @martintetaz

Lo primero y más recomendable para que te voten es NO SER UN MENTIROSO, aunque para #JuntosPorUnCargo…",False,82
"#uva
#vendemmia
#aglianico
#Montemarano
#2021halloween https://t.co/oITID0H5rv",False,0
"RT @enfasisnoticias: 📢¡¡#RevistaÉnfasis de #octubre!!📖
«Museo del #vino🍷 en #Guanajuato, ¿ya lo conoces?»
· En ese estado producen vino bla…",False,0
"Not Getting enough Leads for your business?
Accelerate your online business with our Best Digital Marketing Service… https://t.co/KQ0idKRGmp",False,0
"@ellencarmichael @redsteeze #VA is crawling w/guys just like this, each more earnestly self-referential and w/a lar… https://t.co/rX0W8DnpTb",False,0
"RT @Eliana23671981: @martintetaz Y con el #Uva no crees que es un robo, encima que trabajo no hay",False,2
