"date","supply","stock"
1929-11-01,9,9
1930-01-01,3,12
1930-04-01,2,14
1930-06-01,1,15
1930-10-01,2,17
1931-01-01,2,19
1931-03-01,1,20
1932-01-01,2,22
1932-02-01,2,24
1932-05-01,9,33
1932-06-01,1,34
1932-12-01,4,38
1933-01-01,2,40
1933-03-01,1,41
1933-04-01,92,133
1933-05-01,1,134
1934-01-01,3,137
1934-03-01,5,142
1934-04-01,52,194
1934-05-01,69,263
1934-07-01,52,315
1934-09-01,67,382
1934-12-01,9,391
1935-01-01,4,395
1935-02-01,214,609
1935-04-01,15,624
1935-05-01,1,625
1935-06-01,75,700
1935-08-01,3,703
1935-09-01,5,708
1935-11-01,103,811
1935-12-01,2,813
1936-01-01,31,844
1936-02-01,5,849
1936-03-01,3,852
1936-04-01,5,857
1936-05-01,13,870
1936-06-01,1,871
1936-07-01,3,874
1936-10-01,74,948
1936-12-01,17,965
1937-01-01,18,983
1937-02-01,2,985
1937-03-01,49,1034
1937-05-01,14,1048
1937-06-01,6,1054
1937-07-01,5,1059
1937-09-01,1,1060
1937-10-01,64,1124
1937-11-01,85,1209
1937-12-01,81,1290
1938-01-01,14,1304
1938-02-01,3,1307
1938-06-01,5,1312
1938-10-01,107,1419
1938-11-01,8,1427
1938-12-01,1,1428
1939-01-01,126,1554
1939-02-01,1,1555
1939-03-01,2,1557
1939-04-01,16,1573
1939-05-01,127,1700
1939-06-01,2,1702
1939-08-01,1,1703
1939-10-01,1,1704
1939-11-01,4,1708
1939-12-01,143,1851
1940-01-01,5,1856
1940-04-01,1478,3334
1940-05-01,11,3345
1940-06-01,3,3348
1940-09-01,34,3382
1940-12-01,1,3383
1941-01-01,517,3900
1941-03-01,42,3942
1941-06-01,104,4046
1941-10-01,2,4048
1941-11-01,1,4049
1941-12-01,276,4325
1942-01-01,224,4549
1942-03-01,129,4678
1942-04-01,1,4679
1942-05-01,80,4759
1942-06-01,1,4760
1942-07-01,21,4781
1942-09-01,2,4783
1942-11-01,79,4862
1942-12-01,326,5188
1943-01-01,1,5189
1943-02-01,470,5659
1943-05-01,465,6124
1943-07-01,5,6129
1943-09-01,1,6130
1943-11-01,171,6301
1943-12-01,9,6310
1944-01-01,2,6312
1944-03-01,62,6374
1944-05-01,88,6462
1944-06-01,6,6468
1944-07-01,7,6475
1944-09-01,42,6517
1944-11-01,94,6611
1944-12-01,45,6656
1945-01-01,139,6795
1945-03-01,13,6808
1945-04-01,106,6914
1945-06-01,12,6926
1945-09-01,1,6927
1945-12-01,19,6946
1946-01-01,1,6947
1946-04-01,1,6948
1946-05-01,107,7055
1946-07-01,62,7117
1946-11-01,1,7118
1947-01-01,4,7122
1947-03-01,167,7289
1947-06-01,93,7382
1947-10-01,62,7444
1947-12-01,111,7555
1948-01-01,1,7556
1948-03-01,164,7720
1948-10-01,248,7968
1949-02-01,29,7997
1949-03-01,291,8288
1949-04-01,2,8290
1949-05-01,102,8392
1949-09-01,1133,9525
1949-10-01,4,9529
1949-11-01,3,9532
1950-01-01,78,9610
1950-02-01,2,9612
1950-04-01,86,9698
1950-06-01,61,9759
1950-10-01,157,9916
1950-11-01,67,9983
1951-01-01,116,10099
1951-05-01,399,10498
1951-09-01,1,10499
1951-10-01,1,10500
1951-11-01,114,10614
1951-12-01,2,10616
1952-01-01,49,10665
1952-03-01,2,10667
1952-05-01,268,10935
1952-10-01,15,10950
1952-11-01,207,11157
1952-12-01,3,11160
1953-01-01,98,11258
1953-04-01,244,11502
1953-06-01,100,11602
1953-11-01,27,11629
1953-12-01,4,11633
1954-01-01,109,11742
1954-04-01,290,12032
1954-05-01,1,12033
1954-06-01,17,12050
1954-09-01,310,12360
1954-12-01,121,12481
1955-01-01,2,12483
1955-04-01,191,12674
1955-06-01,39,12713
1955-10-01,135,12848
1955-11-01,72,12920
1955-12-01,3,12923
1956-01-01,6,12929
1956-02-01,2,12931
1956-03-01,340,13271
1956-04-01,48,13319
1956-05-01,12,13331
1956-06-01,6,13337
1956-10-01,406,13743
1956-11-01,3,13746
1956-12-01,311,14057
1957-02-01,18,14075
1957-05-01,84,14159
1957-09-01,1,14160
1957-10-01,105,14265
1957-12-01,95,14360
1958-01-01,2,14362
1958-02-01,143,14505
1958-04-01,17,14522
1958-09-01,2,14524
1958-10-01,43,14567
1958-12-01,499,15066
1959-01-01,1,15067
1959-03-01,160,15227
1959-04-01,576,15803
1959-06-01,3,15806
1959-09-01,9,15815
1959-10-01,63,15878
1959-12-01,27,15905
1960-01-01,1,15906
1960-02-01,12,15918
1960-04-01,59,15977
1960-05-01,171,16148
1960-09-01,8,16156
1960-11-01,203,16359
1960-12-01,1,16360
1961-01-01,79,16439
1961-02-01,35,16474
1961-03-01,9,16483
1961-04-01,16,16499
1961-05-01,129,16628
1961-06-01,1,16629
1961-10-01,21,16650
1961-11-01,72,16722
1961-12-01,186,16908
1962-01-01,110,17018
1962-02-01,20,17038
1962-03-01,16,17054
1962-04-01,21,17075
1962-05-01,200,17275
1962-10-01,18,17293
1962-11-01,93,17386
1962-12-01,92,17478
1963-01-01,66,17544
1963-02-01,148,17692
1963-03-01,34,17726
1963-04-01,84,17810
1963-05-01,110,17920
1963-06-01,139,18059
1963-10-01,130,18189
1963-11-01,27,18216
1963-12-01,221,18437
1964-01-01,348,18785
1964-02-01,216,19001
1964-03-01,89,19090
1964-04-01,219,19309
1964-05-01,35,19344
1964-06-01,96,19440
1964-10-01,11220,30660
1964-11-01,233,30893
1964-12-01,25,30918
1965-01-01,76,30994
1965-02-01,47,31041
1965-03-01,34,31075
1965-04-01,446,31521
1965-05-01,133,31654
1965-06-01,178,31832
1965-10-01,125,31957
1965-11-01,900,32857
1965-12-01,84,32941
1966-01-01,264,33205
1966-02-01,68,33273
1966-04-01,65,33338
1966-05-01,453,33791
1966-06-01,22,33813
1966-10-01,124,33937
1966-11-01,369,34306
1966-12-01,426,34732
1967-01-01,23,34755
1967-02-01,268,35023
1967-03-01,68,35091
1967-04-01,370,35461
1967-05-01,9,35470
1967-06-01,221,35691
1967-10-01,613,36304
1967-11-01,91,36395
1967-12-01,733,37128
1968-01-01,99,37227
1968-02-01,255,37482
1968-03-01,5117,42599
1968-04-01,92,42691
1968-05-01,293,42984
1968-06-01,139,43123
1968-10-01,454,43577
1968-11-01,119,43696
1968-12-01,328,44024
1969-01-01,61,44085
1969-02-01,115,44200
1969-03-01,116,44316
