"Title","Artist","ConstituentID","ArtistBio","Nationality","BeginDate","EndDate","Gender","Date","Medium","Dimensions","CreditLine","AccessionNumber","Classification","Department","DateAcquired","Cataloged","ObjectID","URL","ThumbnailURL","Circumference (cm)","Depth (cm)","Diameter (cm)","Height (cm)","Length (cm)","Weight (kg)","Width (cm)","Seat Height (cm)","Duration (sec.)"
"Diary","Richard Smith","5493","(British, 1931–2016)","(British)","(1931)","(2016)","(Male)","1975","Screenprint on seven sheets with punched hole additions, string and pole","composition and sheet (each approx.): 20 1/2 x 20 9/16"" (52 x 52.2 cm)","Junior Council Fund","286.1975.a-h","Print","Drawings & Prints",1975-10-07,"Y",66050,"http://www.moma.org/collection/works/66050","http://www.moma.org/media/W1siZiIsIjE1NjU5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=60872569a270ca63",NA,NA,NA,52,NA,NA,52.2,NA,NA
"Trial proof for ""Have Mercy Upon Me, Oh God, According to Thy Loving Kindness"", plate I from Miserere","Georges Rouault","5053","(French, 1871–1958)","(French)","(1871)","(1958)","(Male)","(Book commissioned, but unpublished by Vollard;  Print executed 1923; Book publi","Aquatint, lift ground aquatint, and drypoint over photogravure","plate: 23 5/8 x 17 5/8"" (60 x 44.7 cm); sheet (irreg.): 25 11/16 x 19 3/4"" (65.2 x 50.2 cm)","Abby Aldrich Rockefeller Fund","297.1948","Illustrated Book","Drawings & Prints",1948-10-06,"Y",14791,"http://www.moma.org/collection/works/14791","http://www.moma.org/media/W1siZiIsIjIxOTkxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a3a97cfd4fd45cad",NA,NA,NA,60,NA,NA,44.7,NA,NA
"Beth Sholom Synagogue, Elkins Park, Pennsylvania","Frank Lloyd Wright","6459","(American, 1867–1959)","(American)","(1867)","(1959)","(Male)","1954","Drawing","(1 x 1"")","The Frank Lloyd Wright Foundation Archives (The Museum of Modern Art | Avery Architectural & Fine Arts Library, Columbia University, New York)","FLW.DR.5313.102","Frank Lloyd Wright Archive","Architecture & Design",NA,"N",201069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Untitled","Alan Saret","5163","(American, born 1944)","(American)","(1944)","(0)","(Male)","(1970)","Colored pencil on paper","sheet  24 x 37 7/8"" (61.2 x 96.5 cm)","Acquired with matching funds from an anonymous donor and the National Endowment for the Arts","120.1974","Drawing","Drawings & Prints",1974-02-12,"Y",34177,"http://www.moma.org/collection/works/34177","http://www.moma.org/media/W1siZiIsIjM0MTk4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=824b1fa83b29fe3b",NA,NA,NA,61.2,NA,NA,96.5,NA,NA
"Remodelling of Modlinger House, Wannsee, Berlin (Upper-floor plan)","Lilly Reich","8059","(German, 1885–1947)","(German)","(1885)","(1947)","(Female)","1930-1931","Pencil and colored pencil on print","17 1/2 x 18"" (44.5 x 45.7 cm)","Lilly Reich Collection, Mies van der Rohe Archive","R11.73","Mies van der Rohe Archive","Architecture & Design",NA,"N",147825,NA,NA,NA,NA,NA,44.4500889002,NA,NA,45.7200914402,NA,NA
"Highrise of Homes project","James Wines","7570","(American, born 1932)","(American)","(1932)","(0)","(Male)","1981","Ink on mylar","42 x 42"" (106.7 x 106.7 cm)","Gift of the architect","717.2015.3","Architecture","Architecture & Design",2015-06-04,"Y",190687,"http://www.moma.org/collection/works/190687","http://www.moma.org/media/W1siZiIsIjQyODY1NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=93c7f7c50f6dbfe3",NA,NA,NA,106.6802133604,NA,NA,106.6802133604,NA,NA
"Church of the Light, Ibaraki, Osaka, Japan, Plan","Tadao Ando","7055","(Japanese, born 1941)","(Japanese)","(1941)","(0)","(Male)","1989","Lithograph with color pencil","40 1/2 x 28 5/8"" (102.9 x 72.7 cm)
","Gift of the architect in honor of Philip Johnson","349.1996","Architecture","Architecture & Design",1996-09-25,"Y",341,"http://www.moma.org/collection/works/341","http://www.moma.org/media/W1siZiIsIjU0ODUiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=714fe6c634d92ca3",NA,NA,NA,102.9,NA,NA,72.7,NA,NA
"Ring Armchair (model 273)","Pierre Paulin","4524","(French, 1927–2009)","(French)","(1927)","(2009)","(Male)","1953-1954","Tubular steel and cotton canvas","26 1/2 x 32 3/4 x 26"" (67.3 x 83.2 x 66 cm)","Gift of Azzedine Alaia and the Suzanne Slesin Purchase Fund","449.2008","Design","Architecture & Design",2008-02-06,"Y",114385,"http://www.moma.org/collection/works/114385","http://www.moma.org/media/W1siZiIsIjIwMjQ4MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=707d34f8f4b992a2",NA,66.0401320803,NA,67.3101346203,NA,NA,83.1851663703,NA,NA
"Lapeyrouse Wall","Peter Doig","8087","(British, born 1959)","(British)","(1959)","(0)","(Male)","2005","Etching on chine collé","Sheet: 18 x 22 1/4"" (45.7 x 56.5 cm)","Gift of Anna Marie and Robert F. Shapiro","925.2005","Print","Drawings & Prints",2005-10-25,"Y",100169,"http://www.moma.org/collection/works/100169","http://www.moma.org/media/W1siZiIsIjIxNTQ3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=552e2f309bc9308b",NA,NA,NA,45.7201,NA,NA,56.5151,NA,NA
"In the Realm of Perpetual Embarrassment from The Hundred Videos","Steve Reinke","34915","(Canadian, born 1963)","(Canadian)","(1963)","(0)","(Male)","1992","Video (color, sound)","3:33 min.","Gift of the artist","1342.1999.38","Video","Media and Performance",1999-03-15,"Y",118432,"http://www.moma.org/collection/works/118432","http://www.moma.org/media/W1siZiIsIjI1MjY3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9dc5f7c5908651ba",NA,NA,NA,NA,NA,NA,NA,NA,213
