"year","gallery","visitors"
2006,"Britain",1665
2007,"Britain",1533
2008,"Britain",1587
2009,"Britain",1576
2010,"Britain",1606
2011,"Britain",1465
2012,"Britain",1396
2013,"Britain",1419
2014,"Britain",1373
2015,"Britain",1273
2016,"Britain",1363
2017,"Britain",1548
2018,"Britain",1357
2019,"Britain",1621
2006,"Modern",5235
2007,"Modern",5237
2008,"Modern",4648
2009,"Modern",4788
2010,"Modern",5035
2011,"Modern",4766
2012,"Modern",5524
2013,"Modern",4806
2014,"Modern",5702
2015,"Modern",4587
2016,"Modern",6396
2017,"Modern",5709
2018,"Modern",5799
2019,"Modern",5744
2006,"Liverpool",566
2007,"Liverpool",691
2008,"Liverpool",1036
2009,"Liverpool",523
2010,"Liverpool",606
2011,"Liverpool",607
2012,"Liverpool",621
2013,"Liverpool",571
2014,"Liverpool",598
2015,"Liverpool",618
2016,"Liverpool",636
2017,"Liverpool",643
2018,"Liverpool",702
2019,"Liverpool",628
2006,"StIves",241
2007,"StIves",244
2008,"StIves",204
2009,"StIves",219
2010,"StIves",199
2011,"StIves",206
2012,"StIves",205
2013,"StIves",241
2014,"StIves",230
2015,"StIves",184
2016,"StIves",52
2017,"StIves",265
2018,"StIves",300
2019,"StIves",270
