from,to,weight,type
1,2,9,likes
1,3,5,likes
1,4,2,likes
1,5,3,likes
1,6,12,likes
1,7,10,likes
1,8,10,likes
1,9,16,likes
1,11,12,likes
1,12,10,likes
1,13,9,likes
1,14,10,likes
1,18,18,likes
1,20,17,likes
1,22,5,likes
1,32,19,likes
2,3,6,likes
2,4,18,likes
2,8,4,likes
2,14,11,likes
2,18,18,likes
2,20,2,likes
2,22,19,likes
2,31,15,likes
3,4,15,likes
3,8,10,likes
3,9,3,likes
3,10,15,likes
3,14,15,likes
3,28,14,likes
3,29,10,likes
3,33,8,likes
4,8,14,likes
4,13,16,likes
4,14,9,likes
5,7,16,likes
5,11,5,likes
6,7,9,likes
6,11,10,likes
6,17,7,likes
7,17,10,likes
9,31,10,likes
9,33,19,likes
9,34,10,likes
10,34,19,likes
14,34,2,likes
15,33,16,likes
15,34,3,likes
16,33,17,likes
16,34,16,likes
19,33,10,likes
19,34,8,likes
20,34,18,likes
21,33,8,likes
21,34,12,likes
23,33,11,likes
23,34,13,likes
24,26,17,likes
24,28,14,likes
24,30,4,likes
24,33,12,likes
24,34,17,likes
25,26,7,likes
25,28,13,likes
25,32,15,likes
26,32,4,likes
27,30,9,likes
27,34,16,likes
28,34,4,likes
29,32,1,likes
29,34,14,likes
30,33,19,likes
30,34,15,likes
31,33,6,likes
31,34,15,likes
32,33,18,likes
32,34,17,likes
33,34,12,likes
