user,text,created_at
BarackObama,Signing the Paris Agreement to fight climate change was one of my proudest moments in office. But it was always a f… https://t.co/WbV0gXe35u,2021-10-29 16:00:11
BarackObama,"In a country as large and diverse as ours, progress can often feel frustrating and slow, with small victories accom… https://t.co/VZNIPg3G3X",2021-10-28 16:14:17
BarackObama,"Climate change isn’t a distant environmental issue—it’s already having an immediate impact on our lives, including… https://t.co/KLJaVwCtN1",2021-10-27 17:30:56
BarackObama,"When you look at the history of big social movements, they’re usually started and sustained by young people who put… https://t.co/M7TZvgFK1g",2021-10-25 17:26:02
BarackObama,It was great to be back in New Jersey! There's too much at stake in this election to sit it out. Let's keep New Jer… https://t.co/h24sx1Jhxu,2021-10-25 00:42:34
BarackObama,"Virginians delivered for me twice, and now I’m asking them to do it again by electing @TerryMcAuliffe as their next… https://t.co/F3KAgH2GUq",2021-10-23 23:22:41
BarackObama,Some of the most important changes often start in state legislatures. That's why I'm proud to support these candida… https://t.co/hlPnp09iWm,2021-10-23 13:02:49
BarackObama,Glad I had a chance to talk with our new champs! I really am proud of this team and their work this season. https://t.co/rHwqreQMpi,2021-10-21 18:55:09
BarackObama,"At a time when voting rights are being rolled back, the Freedom to Vote Act would strengthen our democracy and give… https://t.co/GQynA2k29g",2021-10-20 16:30:03
BarackObama,"It was great speaking with the @MBK_Alliance Advisory Council, and hearing more about the work they’re doing to mak… https://t.co/CYwB9I4wKY",2021-10-20 16:00:09
BarackObama,"General Colin Powell understood what was best in this country, and tried to bring his own life, career, and public… https://t.co/E39jjLDobN",2021-10-18 17:15:13
BarackObama,"Congrats to our new WNBA champs, @ChicagoSky! I couldn’t be prouder of this team — they worked hard for this moment… https://t.co/D4ajzqlaJ9",2021-10-17 22:45:23
BarackObama,"Today, we lost an icon with the passing of Timuel Black. Over his 102 years, Tim was many things: a veteran, histor… https://t.co/rl1BBJVXiy",2021-10-13 19:35:28
BarackObama,I was deeply saddened to learn about the passing of General Ray Odierno after a battle with cancer. He devoted his… https://t.co/m2Lr2GZaOb,2021-10-10 00:48:08
BarackObama,Congratulations to Maria Ressa and Dmitry Muratov. This award is a tribute to their extraordinary courage and the e… https://t.co/4inNzH3uS7,2021-10-09 16:00:52
BarackObama,"And of course, I’m excited for my @WhiteSox to be back in the playoffs. It’s going to be hard to top a walk-off hom… https://t.co/jBrF6F4aVU",2021-10-07 20:30:34
BarackObama,"It’s always good to be from Chicago, but this year is especially sweet. Congratulations to the @ChicagoSky for maki… https://t.co/jPqOx6KUY5",2021-10-07 20:30:32
BarackObama,"If we don’t stand up for democracy, we’ll see this type of gerrymandering happen in even more states. It’s why… https://t.co/xGV0fATyhz",2021-10-05 19:01:10
BarackObama,"And in Georgia, Republicans released a congressional map that decreases the voting power of communities of color –… https://t.co/xEPS683bgw",2021-10-05 19:01:09
BarackObama,"In Texas, for example, Republicans recently passed a law making voting harder, especially for people of color. Now… https://t.co/cYnzd8UZip",2021-10-05 19:01:09
BarackObama,"Right now, state legislatures across the country are setting new boundaries for state legislative and congressional… https://t.co/ZT9tESm1iv",2021-10-05 19:01:08
BarackObama,"Our latest production from Higher Ground, Ada Twist, Scientist, is now on Netflix. Based on the book series, the sh… https://t.co/mFKyn5MYNr",2021-10-05 17:02:49
BarackObama,"Happy anniversary, Miche! Over the past 29 years, I've loved watching the world get to know you not just as a daugh… https://t.co/spmpQ88pFd",2021-10-03 19:01:49
BarackObama,"Happy 97th birthday, President Carter! Thank you for the extraordinary example of lifelong service that you've set for all of us.",2021-10-01 21:03:01
BarackObama,"Today, we officially broke ground on the Obama Presidential Center on the South Side of Chicago. Michelle and I can… https://t.co/WdIcxFWn5s",2021-09-28 22:43:00
BarackObama,Michelle and I couldn't be more excited to officially break ground on the Obama Presidential Center on the South Si… https://t.co/4piT1dA5dS,2021-09-28 18:24:16
BarackObama,Michelle and I had fun surprising some of the hardworking women from the Chicago Women of Trades. We’re grateful fo… https://t.co/rwzq3WuqhL,2021-09-28 18:02:40
BarackObama,"RT @ObamaFoundation: Thanks @RobinRoberts for chatting all things Obama Presidential Center on @GMA, and helping @BarackObama surprise memb…",2021-09-28 15:37:45
BarackObama,It was great meeting our newest class of @ObamaFoundation Scholars at @UChicago. Young leaders like them are the so… https://t.co/GU2QjZzVBU,2021-09-28 00:29:58
BarackObama,"Chicago will always be an important place to @MichelleObama and me, which is why we're excited to celebrate the vir… https://t.co/cTdvvWet0J",2021-09-24 15:01:33
BarackObama,"If we want to give our children and grandchildren a brighter future, the wealthiest Americans and large corporation… https://t.co/scMPZnDr6d",2021-09-23 18:30:30
BarackObama,"The repeal of ‘Don’t Ask, Don’t Tell’ allowed these two Marines to be true to themselves while serving in our milit… https://t.co/B0f2QE6EiK",2021-09-20 21:45:19
BarackObama,"Ten years ago today, we repealed ‘Don’t Ask, Don’t Tell.’ Today our military is stronger and our country is safer b… https://t.co/9P6rnyFEz2",2021-09-20 21:45:17
BarackObama,Wishing my friend @JustinTrudeau the best in Canada’s upcoming election. Justin has been an effective leader and st… https://t.co/XKaeppv3P2,2021-09-16 16:31:57
BarackObama,The Freedom to Vote Act just introduced in the Senate would strengthen our democracy by making it easier for people… https://t.co/wqdp0SMRuo,2021-09-14 20:37:14
BarackObama,Many of the refugees fleeing Afghanistan stood by America and risked everything for a chance at a better life. With… https://t.co/p1nr7k2OKC,2021-09-14 16:00:43
BarackObama,"RT @POTUS: We never forget.

We never forget the children who have grown up without parents. Parents who have suffered without children. Hu…",2021-09-11 16:36:04
BarackObama,"Today we honor the nearly 3,000 men, women, and children who died on September 11, 2001, and the heroes who have al… https://t.co/Sf2tgqXvdb",2021-09-11 11:37:48
BarackObama,It was great speaking with @Surgeon_General Murthy and the COVID-19 Community Corps volunteers across the country w… https://t.co/GkfUJSJMyN,2021-09-09 23:38:48
BarackObama,"California! You’ve got a big choice to make by September 14, and everything is on the line. Your vote could be the… https://t.co/uHQ0nVttJ7",2021-09-08 22:45:34
BarackObama,Great memories of an important day. 31 million people now have health insurance—and the peace of mind that comes wi… https://t.co/hrZaRNJBt4,2021-09-08 17:31:30
BarackObama,The pandemic has devastated communities everywhere. But the young leaders in our newest class of @ObamaFoundation S… https://t.co/EizCHrAxzV,2021-09-07 15:22:44
BarackObama,"Labor Day is about honoring folks like Maurice Harris—a devoted husband and father of five, who has spent his caree… https://t.co/8LE85GQOJB",2021-09-06 15:00:25
BarackObama,"This Labor Day, let’s honor all the working men and women who make this country what it is—and the American labor m… https://t.co/hR52qHwDkQ",2021-09-06 15:00:24
BarackObama,"Michelle and I are thinking of everyone affected by Hurricane Ida, and we're grateful to the first responders doing… https://t.co/dxKxZIvKC2",2021-08-31 21:46:17
BarackObama,"May God bless the memory of those we lost, and protect those who remain in harm’s way.",2021-08-27 13:15:48
BarackObama,"Our hearts go out to the families who lost a loved one, and to everyone continuing the mission in Kabul. We’re also… https://t.co/IL6FLyqpPn",2021-08-27 13:15:42
BarackObama,"As president, nothing was more painful than grieving with the loved ones of Americans who gave their lives serving… https://t.co/EE0FkKUNfc",2021-08-27 13:15:40
BarackObama,"Like so many of you, Michelle and I were heartbroken to hear about the terrorist attack outside the Kabul airport t… https://t.co/slCfxQUHxp",2021-08-27 13:15:39
BarackObama,"Yesterday, the House passed the John Lewis Voting Rights Advancement Act that will help Americans everywhere make t… https://t.co/FmDA9tGTFa",2021-08-25 16:20:19
BarackObama,"The Olympics may be over, but the @Paralympics are just getting started. Many of the athletes on @TeamUSA have trav… https://t.co/a8c4ChMcYE",2021-08-24 15:15:57
BarackObama,"Right now, thousands of people in Haiti are injured and even more are homeless after an earthquake hit the island o… https://t.co/fdv9K7bRYq",2021-08-17 14:31:32
BarackObama,Tomorrow is the last day to sign up for health insurance during this special enrollment period. Go to… https://t.co/hg4rLsEiWi,2021-08-14 17:01:30
BarackObama,"We’re at a turning point in the redistricting process, and maps drawn in the next 12 months will determine the next… https://t.co/VaEJRG2LSg",2021-08-12 13:31:19
BarackObama,"RT @POTUS: We can’t wait to tackle the climate crisis.

The signs are unmistakable. The science is undeniable. And the cost of inaction kee…",2021-08-09 22:01:02
BarackObama,Congress needs to summon the same courage we saw a half century ago when the Voting Rights Act was passed and guara… https://t.co/ryiu797pNn,2021-08-06 17:00:04
BarackObama,"The Voting Rights Act, signed into law 56 years ago today, was a monumental piece of legislation. But with the Supr… https://t.co/jGeDNhPQaw",2021-08-06 17:00:03
BarackObama,"From the coal mines of Pennsylvania to the halls of Congress, Rich Trumka was a fierce advocate for working America… https://t.co/mhJgICRjJT",2021-08-05 19:15:06
BarackObama,"RT @ObamaFoundation: Happy birthday, Mrs. Robinson! 🎂 

Watch President Obama reflect on a special moment he shared with his mother-in-law,…",2021-07-29 22:29:46
BarackObama,One of the things I’ve always loved about basketball is the fact that it brings people together and empowers young… https://t.co/P5QbzmHguD,2021-07-27 21:32:56
BarackObama,"COVID-19 has gotten more contagious, so it’s more important than ever to get vaccinated. Vaccines are safe, and the… https://t.co/Sc2WQy6WCJ",2021-07-26 20:37:23
BarackObama,"Bob Moses was a hero of mine. His quiet confidence helped shape the civil rights movement, and he inspired generati… https://t.co/yP6od2oCOc",2021-07-26 00:16:38
BarackObama,I could not be prouder of the incredible athletes representing @TeamUSA at the Olympics. Their determination and ha… https://t.co/URYhgiMUG0,2021-07-23 23:30:53
BarackObama,"Since Bruce @springsteen and I first sat down to record our podcast Renegades: Born in the USA, folks have asked ab… https://t.co/N2McFJTssc",2021-07-22 16:21:43
BarackObama,"Even when he was confined to the darkness of a jail cell, Madiba’s light shone brightly. Today, as we reflect on hi… https://t.co/y9FEF4HeyG",2021-07-18 16:51:54
BarackObama,"As Republican legislatures across the country deliberately try to make it harder to cast a ballot, we need to keep… https://t.co/lW2jMLhvhY",2021-07-17 19:29:47
BarackObama,John Lewis and C.T. Vivian loved this country so much that they risked their lives so that it might live up to its… https://t.co/K3tSSpgeuV,2021-07-17 19:29:47
BarackObama,"For more than nine years, DREAMers have watched courts and politicians debate whether they’ll be allowed to stay in… https://t.co/78AlKj922E",2021-07-17 15:08:25
BarackObama,"Starting today, working families are getting monthly payments of up to $300 per child thanks to @POTUS' American Re… https://t.co/crGgEDZMTg",2021-07-15 15:20:06
BarackObama,"With so many folks getting together with family and friends, there’s a lot to celebrate this summer. Here’s a playl… https://t.co/BgAxl1iw2O",2021-07-10 13:13:06
BarackObama,"While we were still in the White House, I began sharing my summer favorites—and now, it’s become a little tradition… https://t.co/DzD5M3r3lo",2021-07-09 19:09:25
