"date","Department","supply","stock"
1932-01-01,"Architecture & Design",2,2
1934-01-01,"Architecture & Design",2,4
1934-04-01,"Architecture & Design",43,47
1934-09-01,"Architecture & Design",4,51
1935-11-01,"Architecture & Design",22,73
1935-12-01,"Architecture & Design",1,74
1936-01-01,"Architecture & Design",11,85
1936-05-01,"Architecture & Design",9,94
1936-06-01,"Architecture & Design",1,95
1936-07-01,"Architecture & Design",3,98
1936-10-01,"Architecture & Design",66,164
1937-01-01,"Architecture & Design",14,178
1937-02-01,"Architecture & Design",1,179
1937-03-01,"Architecture & Design",2,181
1937-06-01,"Architecture & Design",6,187
1937-07-01,"Architecture & Design",5,192
1937-10-01,"Architecture & Design",63,255
1937-11-01,"Architecture & Design",85,340
1937-12-01,"Architecture & Design",21,361
1938-01-01,"Architecture & Design",4,365
1938-06-01,"Architecture & Design",5,370
1938-10-01,"Architecture & Design",1,371
1938-11-01,"Architecture & Design",7,378
1939-01-01,"Architecture & Design",3,381
1939-03-01,"Architecture & Design",1,382
1939-05-01,"Architecture & Design",121,503
1939-06-01,"Architecture & Design",2,505
1939-12-01,"Architecture & Design",10,515
1940-04-01,"Architecture & Design",57,572
1940-09-01,"Architecture & Design",15,587
1940-12-01,"Architecture & Design",1,588
1941-01-01,"Architecture & Design",1,589
1941-12-01,"Architecture & Design",9,598
1942-01-01,"Architecture & Design",74,672
1942-07-01,"Architecture & Design",6,678
1942-12-01,"Architecture & Design",2,680
1943-02-01,"Architecture & Design",402,1082
1943-05-01,"Architecture & Design",429,1511
1943-11-01,"Architecture & Design",14,1525
1944-01-01,"Architecture & Design",1,1526
1944-05-01,"Architecture & Design",28,1554
1944-07-01,"Architecture & Design",7,1561
1944-11-01,"Architecture & Design",14,1575
1944-12-01,"Architecture & Design",16,1591
1945-01-01,"Architecture & Design",104,1695
1945-06-01,"Architecture & Design",3,1698
1946-04-01,"Architecture & Design",1,1699
1946-05-01,"Architecture & Design",33,1732
1947-01-01,"Architecture & Design",3,1735
1947-03-01,"Architecture & Design",18,1753
1947-06-01,"Architecture & Design",54,1807
1948-01-01,"Architecture & Design",1,1808
1948-03-01,"Architecture & Design",125,1933
1949-02-01,"Architecture & Design",14,1947
1949-05-01,"Architecture & Design",15,1962
1950-04-01,"Architecture & Design",29,1991
1950-06-01,"Architecture & Design",36,2027
1950-11-01,"Architecture & Design",32,2059
1951-05-01,"Architecture & Design",112,2171
1951-11-01,"Architecture & Design",42,2213
1952-01-01,"Architecture & Design",1,2214
1952-05-01,"Architecture & Design",63,2277
1953-01-01,"Architecture & Design",4,2281
1953-04-01,"Architecture & Design",114,2395
1953-11-01,"Architecture & Design",17,2412
1954-01-01,"Architecture & Design",11,2423
1954-04-01,"Architecture & Design",16,2439
1954-06-01,"Architecture & Design",7,2446
1954-09-01,"Architecture & Design",40,2486
1954-12-01,"Architecture & Design",41,2527
1955-04-01,"Architecture & Design",22,2549
1955-06-01,"Architecture & Design",24,2573
1956-03-01,"Architecture & Design",44,2617
1956-04-01,"Architecture & Design",35,2652
1956-10-01,"Architecture & Design",135,2787
1957-05-01,"Architecture & Design",33,2820
1957-10-01,"Architecture & Design",11,2831
1957-12-01,"Architecture & Design",63,2894
1958-01-01,"Architecture & Design",2,2896
1958-02-01,"Architecture & Design",28,2924
1958-10-01,"Architecture & Design",1,2925
1958-12-01,"Architecture & Design",157,3082
