"","date","supply","stock"
"1",1929-11-01,9,9
"2",1930-01-01,3,12
"3",1930-04-01,2,14
"4",1930-06-01,1,15
"5",1930-10-01,2,17
"6",1931-01-01,2,19
"7",1931-03-01,1,20
"8",1932-01-01,2,22
"9",1932-02-01,2,24
"10",1932-05-01,9,33
"11",1932-06-01,1,34
"12",1932-12-01,4,38
"13",1933-01-01,2,40
"14",1933-03-01,1,41
"15",1933-04-01,92,133
"16",1933-05-01,1,134
"17",1934-01-01,3,137
"18",1934-03-01,5,142
"19",1934-04-01,52,194
"20",1934-05-01,69,263
"21",1934-07-01,52,315
"22",1934-09-01,67,382
"23",1934-12-01,9,391
"24",1935-01-01,4,395
"25",1935-02-01,214,609
"26",1935-04-01,15,624
"27",1935-05-01,1,625
"28",1935-06-01,75,700
"29",1935-08-01,3,703
"30",1935-09-01,5,708
"31",1935-11-01,103,811
"32",1935-12-01,2,813
"33",1936-01-01,31,844
"34",1936-02-01,5,849
"35",1936-03-01,3,852
"36",1936-04-01,5,857
"37",1936-05-01,13,870
"38",1936-06-01,1,871
"39",1936-07-01,3,874
"40",1936-10-01,74,948
"41",1936-12-01,17,965
"42",1937-01-01,18,983
"43",1937-02-01,2,985
"44",1937-03-01,49,1034
"45",1937-05-01,14,1048
"46",1937-06-01,6,1054
"47",1937-07-01,5,1059
"48",1937-09-01,1,1060
"49",1937-10-01,64,1124
"50",1937-11-01,85,1209
"51",1937-12-01,81,1290
"52",1938-01-01,14,1304
"53",1938-02-01,3,1307
"54",1938-06-01,5,1312
"55",1938-10-01,107,1419
"56",1938-11-01,8,1427
"57",1938-12-01,1,1428
"58",1939-01-01,126,1554
"59",1939-02-01,1,1555
"60",1939-03-01,2,1557
"61",1939-04-01,16,1573
"62",1939-05-01,127,1700
"63",1939-06-01,2,1702
"64",1939-08-01,1,1703
"65",1939-10-01,1,1704
"66",1939-11-01,4,1708
"67",1939-12-01,143,1851
"68",1940-01-01,5,1856
"69",1940-04-01,1478,3334
"70",1940-05-01,11,3345
"71",1940-06-01,3,3348
"72",1940-09-01,34,3382
"73",1940-12-01,1,3383
"74",1941-01-01,517,3900
"75",1941-03-01,42,3942
"76",1941-06-01,104,4046
"77",1941-10-01,2,4048
"78",1941-11-01,1,4049
"79",1941-12-01,276,4325
"80",1942-01-01,224,4549
"81",1942-03-01,129,4678
"82",1942-04-01,1,4679
"83",1942-05-01,80,4759
"84",1942-06-01,1,4760
"85",1942-07-01,21,4781
"86",1942-09-01,2,4783
"87",1942-11-01,79,4862
"88",1942-12-01,326,5188
"89",1943-01-01,1,5189
"90",1943-02-01,470,5659
"91",1943-05-01,465,6124
"92",1943-07-01,5,6129
"93",1943-09-01,1,6130
"94",1943-11-01,171,6301
"95",1943-12-01,9,6310
"96",1944-01-01,2,6312
"97",1944-03-01,62,6374
"98",1944-05-01,88,6462
"99",1944-06-01,6,6468
"100",1944-07-01,7,6475
"101",1944-09-01,42,6517
"102",1944-11-01,94,6611
"103",1944-12-01,45,6656
"104",1945-01-01,139,6795
"105",1945-03-01,13,6808
"106",1945-04-01,106,6914
"107",1945-06-01,12,6926
"108",1945-09-01,1,6927
"109",1945-12-01,19,6946
"110",1946-01-01,1,6947
"111",1946-04-01,1,6948
"112",1946-05-01,107,7055
"113",1946-07-01,62,7117
"114",1946-11-01,1,7118
"115",1947-01-01,4,7122
"116",1947-03-01,167,7289
"117",1947-06-01,93,7382
"118",1947-10-01,62,7444
"119",1947-12-01,111,7555
"120",1948-01-01,1,7556
"121",1948-03-01,164,7720
"122",1948-10-01,248,7968
"123",1949-02-01,29,7997
"124",1949-03-01,291,8288
"125",1949-04-01,2,8290
"126",1949-05-01,102,8392
"127",1949-09-01,1133,9525
"128",1949-10-01,4,9529
"129",1949-11-01,3,9532
"130",1950-01-01,78,9610
"131",1950-02-01,2,9612
"132",1950-04-01,86,9698
"133",1950-06-01,61,9759
"134",1950-10-01,157,9916
"135",1950-11-01,67,9983
"136",1951-01-01,116,10099
"137",1951-05-01,399,10498
"138",1951-09-01,1,10499
"139",1951-10-01,1,10500
"140",1951-11-01,114,10614
"141",1951-12-01,2,10616
"142",1952-01-01,49,10665
"143",1952-03-01,2,10667
"144",1952-05-01,268,10935
"145",1952-10-01,15,10950
"146",1952-11-01,207,11157
"147",1952-12-01,3,11160
"148",1953-01-01,98,11258
"149",1953-04-01,244,11502
"150",1953-06-01,100,11602
"151",1953-11-01,27,11629
"152",1953-12-01,4,11633
"153",1954-01-01,109,11742
"154",1954-04-01,290,12032
"155",1954-05-01,1,12033
"156",1954-06-01,17,12050
"157",1954-09-01,310,12360
"158",1954-12-01,121,12481
"159",1955-01-01,2,12483
"160",1955-04-01,191,12674
"161",1955-06-01,39,12713
"162",1955-10-01,135,12848
"163",1955-11-01,72,12920
"164",1955-12-01,3,12923
"165",1956-01-01,6,12929
"166",1956-02-01,2,12931
"167",1956-03-01,340,13271
"168",1956-04-01,48,13319
"169",1956-05-01,12,13331
"170",1956-06-01,6,13337
"171",1956-10-01,406,13743
"172",1956-11-01,3,13746
"173",1956-12-01,311,14057
"174",1957-02-01,18,14075
"175",1957-05-01,84,14159
"176",1957-09-01,1,14160
"177",1957-10-01,105,14265
"178",1957-12-01,95,14360
"179",1958-01-01,2,14362
"180",1958-02-01,143,14505
"181",1958-04-01,17,14522
"182",1958-09-01,2,14524
"183",1958-10-01,43,14567
"184",1958-12-01,499,15066
"185",1959-01-01,1,15067
"186",1959-03-01,160,15227
"187",1959-04-01,576,15803
"188",1959-06-01,3,15806
"189",1959-09-01,9,15815
"190",1959-10-01,63,15878
"191",1959-12-01,27,15905
"192",1960-01-01,1,15906
"193",1960-02-01,12,15918
"194",1960-04-01,59,15977
"195",1960-05-01,171,16148
"196",1960-09-01,8,16156
"197",1960-11-01,203,16359
"198",1960-12-01,1,16360
"199",1961-01-01,79,16439
"200",1961-02-01,35,16474
"201",1961-03-01,9,16483
"202",1961-04-01,16,16499
"203",1961-05-01,129,16628
"204",1961-06-01,1,16629
"205",1961-10-01,21,16650
"206",1961-11-01,72,16722
"207",1961-12-01,186,16908
"208",1962-01-01,110,17018
"209",1962-02-01,20,17038
"210",1962-03-01,16,17054
"211",1962-04-01,21,17075
"212",1962-05-01,200,17275
"213",1962-10-01,18,17293
"214",1962-11-01,93,17386
"215",1962-12-01,92,17478
"216",1963-01-01,66,17544
"217",1963-02-01,148,17692
"218",1963-03-01,34,17726
"219",1963-04-01,84,17810
"220",1963-05-01,110,17920
"221",1963-06-01,139,18059
"222",1963-10-01,130,18189
"223",1963-11-01,27,18216
"224",1963-12-01,221,18437
"225",1964-01-01,348,18785
"226",1964-02-01,216,19001
"227",1964-03-01,89,19090
"228",1964-04-01,219,19309
"229",1964-05-01,35,19344
"230",1964-06-01,96,19440
"231",1964-10-01,11220,30660
"232",1964-11-01,233,30893
"233",1964-12-01,25,30918
"234",1965-01-01,76,30994
"235",1965-02-01,47,31041
"236",1965-03-01,34,31075
"237",1965-04-01,446,31521
"238",1965-05-01,133,31654
"239",1965-06-01,178,31832
"240",1965-10-01,125,31957
"241",1965-11-01,900,32857
"242",1965-12-01,84,32941
"243",1966-01-01,264,33205
"244",1966-02-01,68,33273
"245",1966-04-01,65,33338
"246",1966-05-01,453,33791
"247",1966-06-01,22,33813
"248",1966-10-01,124,33937
"249",1966-11-01,369,34306
"250",1966-12-01,426,34732
"251",1967-01-01,23,34755
"252",1967-02-01,268,35023
"253",1967-03-01,68,35091
"254",1967-04-01,370,35461
"255",1967-05-01,9,35470
"256",1967-06-01,221,35691
"257",1967-10-01,613,36304
"258",1967-11-01,91,36395
"259",1967-12-01,733,37128
"260",1968-01-01,99,37227
"261",1968-02-01,255,37482
"262",1968-03-01,5117,42599
"263",1968-04-01,92,42691
"264",1968-05-01,293,42984
"265",1968-06-01,139,43123
"266",1968-10-01,454,43577
"267",1968-11-01,119,43696
"268",1968-12-01,328,44024
"269",1969-01-01,61,44085
"270",1969-02-01,115,44200
"271",1969-03-01,116,44316
"272",1969-04-01,240,44556
"273",1969-05-01,274,44830
"274",1969-06-01,12,44842
"275",1969-07-01,12,44854
"276",1969-10-01,324,45178
"277",1969-11-01,64,45242
