year,gallery,visitors
2006,Britain,1665.0
2007,Britain,1533.0
2008,Britain,1587.0
2009,Britain,1576.0
2010,Britain,1606.0
2011,Britain,1465.0
2012,Britain,1396.0
2013,Britain,1419
2014,Britain,1373.0
2015,Britain,1273.0
2016,Britain,1363.0
2017,Britain,1548.0
2018,Britain,1357.0
2019,Britain,1621.0
2006,Modern,5235.0
2007,Modern,5237.0
2008,Modern,4648.0
2009,Modern,4788.0
2010,Modern,5035.0
2011,Modern,4766.0
2012,Modern,5524.0
2013,Modern,4806.0
2014,Modern,5702.0
2015,Modern,4587.0
2016,Modern,6396.0
2017,Modern,5709.0
2018,Modern,5799.0
2019,Modern,5744.0
2006,Liverpool,566.0
2007,Liverpool,691.0
2008,Liverpool,1036.0
2009,Liverpool,523.0
2010,Liverpool,606.0
2011,Liverpool,607.0
2012,Liverpool,621.0
2013,Liverpool,571.0
2014,Liverpool,598.0
2015,Liverpool,618.0
2016,Liverpool,636.0
2017,Liverpool,643.0
2018,Liverpool,702.0
2019,Liverpool,628.0
2006,StIves,241.0
2007,StIves,244.0
2008,StIves,204.0
2009,StIves,219.0
2010,StIves,199.0
2011,StIves,206.0
2012,StIves,205.0
2013,StIves,241.0
2014,StIves,230.0
2015,StIves,184.0
2016,StIves,52.0
2017,StIves,265.0
2018,StIves,300.0
2019,StIves,270.0
